Cab	Vcmo	LAI	hc	zo	d	z	Rin	Ta	Rli	p	ea	u	Ca	tts	 
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  15.04419 264.89451 1012.00000  12.82209   1.57687 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  15.11586 264.96765 1012.00000  12.96419   1.96783 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  15.13033 264.49101 1012.00000  12.99113   1.86207 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  15.00839 264.55694 1012.00000  12.97317   2.01042 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  14.81552 264.10157 1011.13790  12.91644   2.35200 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  14.45167 263.25019 1011.00000  12.86086   2.49280 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  14.28548 263.65778 1011.00000  12.85964   2.62010 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  14.06517 264.16436 1011.00000  12.82134   2.42955 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   0.00000  14.07067 265.30133 1011.00000  12.73490   2.45703 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000   9.55288  13.88936 265.62011 1010.70970  12.53325   2.82561 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000  30.48764  14.32138 264.99321 1010.00000  12.20301   2.99845 380.00000  85.00000  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000  56.92537  14.88033 266.13892 1010.00000  11.96252   2.66187 380.00000  81.35318  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 128.18312  15.74677 267.68139 1010.00000  11.96544   2.78129 380.00000  77.17792  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 115.08627  16.61276 274.45222 1010.00000  12.22502   2.43028 380.00000  72.83966  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 152.01799  16.80200 279.14649 1010.00000  12.51155   2.39317 380.00000  68.37725  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 182.50362  17.49807 284.39828 1010.00000  13.16923   2.49077 380.00000  63.82953  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 262.08652  18.05414 288.73995 1010.00000  13.87342   2.33162 380.00000  59.24387  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 239.99535  18.82167 294.95207 1010.00000  14.43440   2.17920 380.00000  54.66536  
 80.00000  60.00000   3.00000   2.00000   0.24600   1.34000  10.00000 264.39226  19.28677 296.98575 1010.00000  14.95058   2.03535 380.00000  50.14670  
