timestep,year,t,Ta,Tss(1),Tss(2),Tcave,Tsave
#-,-,JulianDay,^oC,^oC,^oC,^oC,^oC
1.0000,2006.0000,169.0000,15.0442,18.8730,18.9565,11.8563,18.8730
2.0000,2006.0000,169.0208,15.1159,18.2728,18.3956,12.2130,18.2728
3.0000,2006.0000,169.0417,15.1303,17.8916,18.0404,12.0690,17.8916
4.0000,2006.0000,169.0625,15.0084,17.6068,17.7746,12.0687,17.6068
5.0000,2006.0000,169.0833,14.8155,17.3201,17.5008,12.1453,17.3201
6.0000,2006.0000,169.1042,14.4517,17.0551,17.2464,11.9101,17.0551
7.0000,2006.0000,169.1250,14.2855,16.8307,17.0311,11.8408,16.8307
8.0000,2006.0000,169.1458,14.0652,16.6357,16.8454,11.5543,16.6357
9.0000,2006.0000,169.1667,14.0707,16.4751,16.6930,11.5787,16.4751
10.0000,2006.0000,169.1875,13.8894,16.3087,16.6202,11.7471,16.3087
11.0000,2006.0000,169.2083,14.3214,16.2396,16.7893,12.3701,16.2396
12.0000,2006.0000,169.2292,14.8803,16.2766,17.1990,12.9950,16.2766
13.0000,2006.0000,169.2500,15.7468,16.3589,18.1466,14.5078,16.3608
14.0000,2006.0000,169.2708,16.6128,16.4271,18.5690,15.0382,16.4398
15.0000,2006.0000,169.2917,16.8020,16.5364,19.2872,15.7047,16.5815
16.0000,2006.0000,169.3125,17.4981,16.7456,20.1408,16.6995,16.8554
17.0000,2006.0000,169.3333,18.0541,17.1036,21.6587,18.1011,17.3409
18.0000,2006.0000,169.3542,18.8217,17.3556,22.3641,18.5054,17.7258
19.0000,2006.0000,169.3750,19.2868,17.6373,23.2504,19.1608,18.1762
20.0000,2006.0000,169.3958,20.3624,18.2021,25.2823,21.0820,19.0327
21.0000,2006.0000,169.4167,21.5797,18.8482,27.5799,22.7028,20.0387
22.0000,2006.0000,169.4375,22.6677,19.8968,31.4160,25.6824,21.6601
23.0000,2006.0000,169.4583,22.9428,19.7957,30.1902,23.0904,21.5254
24.0000,2006.0000,169.4792,23.8160,20.3760,32.0475,25.1420,22.4321
25.0000,2006.0000,169.5000,24.1010,21.1896,34.8833,26.8976,23.6902
26.0000,2006.0000,169.5208,25.0931,22.0852,37.8362,29.1351,25.0059
27.0000,2006.0000,169.5417,25.4953,22.6589,39.3345,29.2901,25.7360
28.0000,2006.0000,169.5625,25.9416,23.1785,40.7059,30.0600,26.3321
29.0000,2006.0000,169.5833,25.9155,23.1106,39.5761,27.7979,25.9399
30.0000,2006.0000,169.6042,26.6353,23.5536,40.5288,29.4478,26.2781
31.0000,2006.0000,169.6250,26.8623,23.6274,40.1810,28.6146,26.0329
32.0000,2006.0000,169.6458,26.9493,23.8104,40.1046,28.7176,25.8864
33.0000,2006.0000,169.6667,27.2610,24.1589,40.9566,29.5782,25.9598
34.0000,2006.0000,169.6875,27.7894,24.3483,41.0918,29.2500,25.7768
35.0000,2006.0000,169.7083,27.5183,24.2064,40.0110,27.9141,25.2062
36.0000,2006.0000,169.7292,27.4653,23.9401,38.8011,26.3606,24.5666
37.0000,2006.0000,169.7500,27.5655,23.8015,38.0100,25.8225,24.1432
38.0000,2006.0000,169.7708,27.0079,23.4994,36.5960,24.1366,23.6381
39.0000,2006.0000,169.7917,27.2160,23.4448,36.9910,23.2499,23.4848
40.0000,2006.0000,169.8125,26.4445,23.1860,35.2877,22.5660,23.1898
41.0000,2006.0000,169.8333,23.2031,22.6635,33.3209,20.2682,22.6635
42.0000,2006.0000,169.8542,22.2340,22.3177,32.2197,19.2250,22.3177
43.0000,2006.0000,169.8750,21.3742,22.0107,31.4829,17.6886,22.0107
44.0000,2006.0000,169.8958,20.5938,21.7353,30.7540,17.5281,21.7353
45.0000,2006.0000,169.9167,20.3167,21.5511,30.3167,17.0620,21.5511
46.0000,2006.0000,169.9375,20.0123,21.3580,29.8281,16.8893,21.3580
47.0000,2006.0000,169.9583,20.4917,21.2399,29.4206,16.9891,21.2399
48.0000,2006.0000,169.9792,20.4913,21.0787,28.9250,16.9294,21.0787
49.0000,2006.0000,170.0000,20.3806,20.9184,28.3918,17.1485,20.9184
