Cab	Cca	Cdm	Cw	Cs	N	rho_thermal	tau_thermal	Vcmo	m	Type	kV	Rdparam	Tparam	fqe	spectrum	rss	rs_thermal	cs	rhos	lambdas	LAI	hc	zo	d	LIDFa	LIDFb	leafwidth	z	Rin	Ta	Rli	p	ea	u	Ca	Oa	rb	Cd	CR	CD1	Psicor	CSSOIL	rbs	rwc	startDOY	endDOY	LAT	LON	timezn	tts	tto	psi	SMC	Tyear	beta	kNPQs	qLs	stressfactor	Cant	BSMBrightness	BSMlat	BSMlon	BallBerry0	
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      11.690     296.397     992.340      15.000       3.692     408.835     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.225      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      11.580     291.157     993.060      15.000       3.948     408.552     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.225      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      10.840     301.573     994.010      15.000       2.654     409.378     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.224      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      10.530     303.513     994.830      15.000       2.458     409.838     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.224      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       9.737     282.070     995.480      15.000       2.621     410.803     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.224      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       9.430     278.023     996.010      15.000       2.862     410.905     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.224      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       9.067     276.130     996.620      15.000       2.865     412.306     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.224      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       8.487     275.453     997.150      15.000       2.250     412.259     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.223      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       7.780     275.920     997.770      15.000       1.679     412.103     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.223      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       7.140     274.303     998.230      15.000       1.298     411.872     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.223      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.137     274.213     998.590      15.000       1.449     411.415     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.223      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.537     271.340     999.100      15.000       2.600     412.956     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.223      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       7.130     270.940     999.300      15.000       2.840     412.870     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.370     269.640     999.400      15.000       2.300     413.880     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.840     269.540     999.400      15.000       2.680     413.540     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       7.000     268.930     999.100      15.000       3.600     413.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       7.100     267.420     999.000      15.000       4.160     413.580     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.570     267.390     999.400      15.000       3.560     414.790     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.620     267.170     999.400      15.000       3.380     413.610     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.222      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       6.500     265.350     999.200      15.000       2.830     413.700     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.730     263.670     999.000      15.000       2.860     414.960     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.670     264.590     998.900      15.000       2.670     415.320     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.910     266.540     999.200      15.000       3.470     414.620     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.730     267.800     999.600      15.000       2.330     414.620     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.390     273.880     999.300      15.000       2.300     415.030     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.170     285.330     999.200      15.000       2.480     415.260     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.221      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       5.230     277.110     999.300      15.000       2.510     415.400     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       4.910     274.950     999.700      15.000       2.010     415.680     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000       4.710     280.230     999.900      15.000       1.480     416.140     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       1.350       4.050     276.270    1000.200      15.000       1.340     417.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000      39.680       4.480     270.960    1000.500      15.000       1.580     416.850     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000      98.610       5.900     275.260    1001.000      15.000       3.020     415.140     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      85.000       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000     161.400       7.390     279.880    1001.500      15.000       3.540     414.430     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     365.750       1.417      52.250       5.690       1.000      83.016       0.000      90.000       0.220      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
