Cab	LAI	Rin	Ta	Rli	p	u	Ca	tts	SMC	 
 39.61473   0.58121   0.00000  11.69000 296.39700 992.34000   3.69200 408.83500  85.00000   0.22474  
 39.61473   0.58121   0.00000  11.58000 291.15700 993.06000   3.94800 408.55200  85.00000   0.22459  
 39.61473   0.58121   0.00000  10.84000 301.57300 994.01000   2.65400 409.37800  85.00000   0.22444  
 39.61473   0.58121   0.00000  10.53000 303.51300 994.83000   2.45800 409.83800  85.00000   0.22425  
 39.61473   0.58121   0.00000   9.73700 282.07000 995.48000   2.62100 410.80300  85.00000   0.22402  
 39.61473   0.58121   0.00000   9.43000 278.02300 996.01000   2.86200 410.90500  85.00000   0.22382  
 39.61473   0.58121   0.00000   9.06700 276.13000 996.62000   2.86500 412.30600  85.00000   0.22365  
 39.61473   0.58121   0.00000   8.48700 275.45300 997.15000   2.25000 412.25900  85.00000   0.22343  
 39.61473   0.58121   0.00000   7.78000 275.92000 997.77000   1.67900 412.10300  85.00000   0.22322  
 39.61473   0.58121   0.00000   7.14000 274.30300 998.23000   1.29800 411.87200  85.00000   0.22299  
 39.61472   0.58121   0.00000   6.13700 274.21300 998.59000   1.44900 411.41500  85.00000   0.22282  
 39.61472   0.58121   0.00000   6.53700 271.34000 999.10000   2.60000 412.95600  85.00000   0.22262  
 39.20223   0.60975   0.00000   7.13000 270.94000 999.30000   2.84000 412.87000  85.00000   0.22245  
 39.20223   0.60975   0.00000   6.37000 269.64000 999.40000   2.30000 413.88000  85.00000   0.22225  
 39.20223   0.60975   0.00000   5.84000 269.54000 999.40000   2.68000 413.54000  85.00000   0.22210  
 39.20223   0.60975   0.00000   7.00000 268.93000 999.10000   3.60000 413.00000  85.00000   0.22192  
 39.20223   0.60975   0.00000   7.10000 267.42000 999.00000   4.16000 413.58000  85.00000   0.22188  
 39.20223   0.60975   0.00000   6.57000 267.39000 999.40000   3.56000 414.79000  85.00000   0.22170  
 39.20223   0.60975   0.00000   6.62000 267.17000 999.40000   3.38000 413.61000  85.00000   0.22157  
 39.20223   0.60975   0.00000   6.50000 265.35000 999.20000   2.83000 413.70000  85.00000   0.22140  
 39.20223   0.60975   0.00000   5.73000 263.67000 999.00000   2.86000 414.96000  85.00000   0.22125  
 39.20223   0.60975   0.00000   5.67000 264.59000 998.90000   2.67000 415.32000  85.00000   0.22110  
 39.20223   0.60975   0.00000   5.91000 266.54000 999.20000   3.47000 414.62000  85.00000   0.22093  
 39.20223   0.60975   0.00000   5.73000 267.80000 999.60000   2.33000 414.62000  85.00000   0.22080  
 39.20223   0.60975   0.00000   5.39000 273.88000 999.30000   2.30000 415.03000  85.00000   0.22065  
 39.20223   0.60975   0.00000   5.17000 285.33000 999.20000   2.48000 415.26000  85.00000   0.22055  
 39.20223   0.60975   0.00000   5.23000 277.11000 999.30000   2.51000 415.40000  85.00000   0.22045  
 39.20223   0.60975   0.00000   4.91000 274.95000 999.70000   2.01000 415.68000  85.00000   0.22030  
 39.20223   0.60975   0.00000   4.71000 280.23000 999.90000   1.48000 416.14000  85.00000   0.22023  
 39.20223   0.60975   1.35000   4.05000 276.27000 1000.20000   1.34000 417.00000  85.00000   0.22003  
 39.20223   0.60975  39.68000   4.48000 270.96000 1000.50000   1.58000 416.85000  85.00000   0.21992  
 39.20223   0.60975  98.61000   5.90000 275.26000 1001.00000   3.02000 415.14000  85.00000   0.21983  
 39.20223   0.60975 161.40000   7.39000 279.88000 1001.50000   3.54000 414.43000  83.01574   0.21980  
