TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,TA_F_MDS_QC,TA_ERA,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA,PA_ERA,PA_F,PA_F_QC,P,P_ERA,P_F,P_F_QC,WS,WS_ERA,WS_F,WS_F_QC,WD,USTAR,RH,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_RANDUNC_METHOD,LE_RANDUNC_N,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_RANDUNC_METHOD,H_RANDUNC_N,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT,NEE_CUT_REF,NEE_VUT_REF,NEE_CUT_REF_QC,NEE_VUT_REF_QC,NEE_CUT_REF_RANDUNC,NEE_VUT_REF_RANDUNC,NEE_CUT_REF_RANDUNC_METHOD,NEE_VUT_REF_RANDUNC_METHOD,NEE_CUT_REF_RANDUNC_N,NEE_VUT_REF_RANDUNC_N,NEE_CUT_REF_JOINTUNC,NEE_VUT_REF_JOINTUNC,NEE_CUT_USTAR50,NEE_VUT_USTAR50,NEE_CUT_USTAR50_QC,NEE_VUT_USTAR50_QC,NEE_CUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC,NEE_CUT_USTAR50_RANDUNC_METHOD,NEE_VUT_USTAR50_RANDUNC_METHOD,NEE_CUT_USTAR50_RANDUNC_N,NEE_VUT_USTAR50_RANDUNC_N,NEE_CUT_USTAR50_JOINTUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_CUT_MEAN,NEE_VUT_MEAN,NEE_CUT_MEAN_QC,NEE_VUT_MEAN_QC,NEE_CUT_SE,NEE_VUT_SE,NEE_CUT_05,NEE_CUT_16,NEE_CUT_25,NEE_CUT_50,NEE_CUT_75,NEE_CUT_84,NEE_CUT_95,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_CUT_05_QC,NEE_CUT_16_QC,NEE_CUT_25_QC,NEE_CUT_50_QC,NEE_CUT_75_QC,NEE_CUT_84_QC,NEE_CUT_95_QC,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,RECO_NT_CUT_REF,RECO_NT_CUT_USTAR50,RECO_NT_CUT_MEAN,RECO_NT_CUT_SE,RECO_NT_CUT_05,RECO_NT_CUT_16,RECO_NT_CUT_25,RECO_NT_CUT_50,RECO_NT_CUT_75,RECO_NT_CUT_84,RECO_NT_CUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,GPP_NT_CUT_REF,GPP_NT_CUT_USTAR50,GPP_NT_CUT_MEAN,GPP_NT_CUT_SE,GPP_NT_CUT_05,GPP_NT_CUT_16,GPP_NT_CUT_25,GPP_NT_CUT_50,GPP_NT_CUT_75,GPP_NT_CUT_84,GPP_NT_CUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,RECO_DT_CUT_REF,RECO_DT_CUT_USTAR50,RECO_DT_CUT_MEAN,RECO_DT_CUT_SE,RECO_DT_CUT_05,RECO_DT_CUT_16,RECO_DT_CUT_25,RECO_DT_CUT_50,RECO_DT_CUT_75,RECO_DT_CUT_84,RECO_DT_CUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,GPP_DT_CUT_REF,GPP_DT_CUT_USTAR50,GPP_DT_CUT_MEAN,GPP_DT_CUT_SE,GPP_DT_CUT_05,GPP_DT_CUT_16,GPP_DT_CUT_25,GPP_DT_CUT_50,GPP_DT_CUT_75,GPP_DT_CUT_84,GPP_DT_CUT_95,RECO_SR,RECO_SR_N,z,hc,t,cab,lai
201712310000,201712310030,8.777,0,9.349,8.777,0,0,0,0,0,0,0,336.627,0,301.149,336.627,0,339.169,0,307.95,339.169,0,0.437,0,0.919,0.437,0,99.371,99.268,99.371,0,0,0,0,0,0.769,1.29,0.769,0,68.1579,0.0405581,96.1333,0,0,0,361.43,435.85,0,10.345,10.332,10.454,10.97,11.078,10.778,10.894,0,0,0,0,0,0,0,22.023,20.043,20.362,21.979,23.071,20.177,0,0,0,0,0,0,-7.77959,0,0.100406,-9999,-9999,-9999,-9999,9.83076,1,44,-9999,0.381667,-9999,-9999,-9999,-9999,20.0512,1,43,-9999,-9999,-9999,1,1.57629,1.57629,1,1,0.58811,0.598428,2,2,405,410,0.588246,0.598563,1.57629,1.57629,1,1,0.58811,0.598389,2,2,405,411,0.588246,0.598524,1.57449,1.57533,1,1,0.00170891,0.00171669,1.55945,1.56232,1.56616,1.57524,1.58257,1.58756,1.59044,1.55945,1.56232,1.56636,1.57629,1.58257,1.58778,1.59152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.65146,1.6471,1.64931,6.15924e-4,1.6433,1.64621,1.64692,1.6483,1.65146,1.65574,1.65626,1.65146,1.64692,1.64854,7.33096e-4,1.63766,1.64571,1.64692,1.64798,1.65051,1.65164,1.6559,0.0753273,0.0708115,0.0739789,0.00161712,0.0541865,0.0621729,0.0688684,0.0742402,0.080128,0.0846635,0.087549,0.0700802,0.0706345,0.0740536,0.00178983,0.0541865,0.0581464,0.068892,0.0742402,0.0811247,0.0859799,0.0895753,1.51234,1.5247,1.59446,0.0282965,1.4225,1.44028,1.4707,1.51118,1.59719,1.90503,1.91947,1.51076,1.90503,1.60097,0.0296814,1.4225,1.43967,1.46915,1.51118,1.63917,1.90503,1.92604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-30T23:00:00Z,39.614735402436345,0.581204933413817
201712310030,201712310100,8.517,0,8.965,8.517,0,0,0,0,0,0,0,330.85,0,301.149,330.85,0,337.298,0,307.95,337.298,0,0.389,0,0.697,0.389,0,99.361,99.256,99.361,0,0,0,0,0,0.681,1.308,0.681,0,131.599,0.0281724,96.5,0,0,0,360.617,431.117,0,10.263,10.273,10.418,10.92,11.046,10.784,10.902,0,0,0,0,0,0,0,22.011,20.032,20.354,21.98,23.08,20.182,0,0,0,0,0,0,-8.23876,0,-0.4752,-9999,-9999,-9999,-9999,10.0897,1,45,-9999,-4.43871,-9999,-9999,-9999,-9999,23.6324,1,45,-9999,-9999,-9999,1,1.59502,1.59502,1,1,0.58811,0.598428,2,2,405,410,0.588296,0.598484,1.59502,1.59502,1,1,0.58811,0.598389,2,2,405,411,0.588296,0.598444,1.59124,1.5905,1,1,0.00189751,0.00167173,1.57408,1.57892,1.58382,1.58893,1.59502,1.6085,1.61272,1.57408,1.58042,1.58194,1.59162,1.59502,1.59672,1.61185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.63786,1.63445,1.63604,6.82327e-4,1.62842,1.63244,1.63384,1.63523,1.63786,1.64289,1.64351,1.63786,1.63415,1.63513,9.51742e-4,1.62255,1.63209,1.63384,1.63492,1.6373,1.63983,1.64309,0.0439519,0.0394287,0.0455353,0.00185447,0.0220625,0.0332309,0.0391275,0.0448101,0.0533282,0.0569671,0.0615258,0.0385911,0.0391275,0.0438944,0.00237036,0.0193681,0.0235881,0.0380564,0.0449052,0.0548122,0.0569671,0.0600767,1.47328,1.48581,1.55464,0.0275627,1.38753,1.406,1.43288,1.47291,1.556,1.85706,1.87075,1.47277,1.85706,1.56108,0.0288956,1.38753,1.40535,1.43131,1.47291,1.60825,1.85706,1.87766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-30T23:30:00Z,39.61473526292023,0.5812049430688729
201712310100,201712310130,8.313,0,8.581,8.313,0,0,0,0,0,0,0,337.453,0,322.902,337.453,0,335.928,0,333.039,335.928,0,0.333,0,0.476,0.333,0,99.326,99.243,99.326,0,0,0,0,0,0.408,1.326,0.408,0,140.693,0.0259554,96.9667,0,0,0,361.743,426.714,0,10.182,10.208,10.36,10.876,11.023,10.803,10.908,0,0,0,0,0,0,0,21.995,20.023,20.347,21.977,23.085,20.184,0,0,0,0,0,0,-8.56,0,0.222785,-9999,-9999,-9999,-9999,10.1041,1,48,-9999,3.91741,-9999,-9999,-9999,-9999,24.2509,1,47,-9999,-9999,-9999,1,1.61167,1.61167,1,1,0.58811,0.598428,2,2,405,410,0.588358,0.59851,1.61167,1.61167,1,1,0.58811,0.598389,2,2,405,411,0.588358,0.598471,1.6094,1.60788,1,1,0.00231168,0.00193803,1.58772,1.59549,1.59857,1.60713,1.6125,1.62965,1.63418,1.58772,1.59549,1.59867,1.60713,1.61167,1.61534,1.63418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.6271,1.62448,1.62556,7.74485e-4,1.61424,1.62202,1.62349,1.62492,1.6271,1.63272,1.63341,1.6271,1.62408,1.62455,0.00114264,1.61066,1.62135,1.62308,1.62492,1.6271,1.63051,1.63294,0.0181718,0.0128056,0.017687,0.00225398,-0.010469,0.00205374,0.0105767,0.0181718,0.0284349,0.0324434,0.0370222,0.0118865,0.0124058,0.0151581,0.00300777,-0.0128303,-0.0083003,0.00313294,0.0178765,0.0294321,0.0324434,0.0353502,1.44309,1.45574,1.52384,0.0269974,1.36046,1.37945,1.40365,1.4433,1.52415,1.81997,1.83307,1.44339,1.81997,1.53022,0.0282906,1.36046,1.37878,1.40206,1.44339,1.58419,1.81997,1.84024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T00:00:00Z,39.61473493738262,0.581204965597337
201712310130,201712310200,8.343,0,8.517,8.343,0,0,0,0,0,0,0,343.267,0,322.902,343.267,0,336.394,0,333.039,336.394,0,0.282,0,0.387,0.282,0,99.309,99.231,99.309,0,0,0,0,0,0.581,1.396,0.581,0,186.159,0.0207123,97.4333,0,0,0,362.457,436.4,0,10.15,10.156,10.303,10.832,10.999,10.812,10.912,0,0,0,0,0,0,0,21.983,20.012,20.34,21.974,23.092,20.186,0,0,0,0,0,0,-8.03083,0,0.517106,-9999,-9999,-9999,-9999,10.4137,1,46,-9999,1.85414,-9999,-9999,-9999,-9999,24.5088,1,45,-9999,-9999,-9999,1,1.59547,1.59547,1,1,0.58811,0.598428,2,2,407,412,0.588323,0.598518,1.59547,1.59547,1,1,0.58811,0.598389,2,2,407,413,0.588323,0.598478,1.59296,1.59182,1,1,0.00209057,0.00180046,1.57377,1.58032,1.58385,1.59193,1.59547,1.61192,1.61627,1.57377,1.58032,1.58458,1.59193,1.59547,1.60102,1.61627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.62832,1.62578,1.62687,7.39547e-4,1.61579,1.62335,1.62478,1.6262,1.62832,1.63382,1.6345,1.62832,1.62539,1.62588,0.00109163,1.61229,1.6227,1.62445,1.6262,1.62832,1.63169,1.63403,0.0346447,0.0303096,0.035046,0.00204227,0.00874472,0.0226202,0.0293668,0.0346447,0.0437363,0.047846,0.0522367,0.0294098,0.0299159,0.0329149,0.00270137,0.00643086,0.0107808,0.0231754,0.0347629,0.0458826,0.047846,0.0505967,1.44751,1.46014,1.52835,0.02708,1.36442,1.38334,1.40792,1.44763,1.52881,1.82539,1.83858,1.44769,1.82539,1.53474,0.0283789,1.36442,1.38267,1.40634,1.44769,1.58772,1.82539,1.84571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T00:30:00Z,39.614734797866504,0.581204975252393
201712310200,201712310230,8.657,0,8.452,8.657,0,0,0,0,0,0,0,346.147,0,322.902,346.147,0,338.703,0,333.039,338.703,0,0.325,0,0.298,0.325,0,99.308,99.22,99.308,0,0,0,0,0,0.985,1.466,0.985,0,282.122,0.0555109,97.1,0,0,0,362.327,452.161,0,10.149,10.109,10.248,10.795,10.969,10.819,10.922,0,0,0,0,0,0,0,21.97,20.003,20.332,21.972,23.099,20.188,0,0,0,0,0,0,-7.09458,0,-0.546029,-9999,-9999,-9999,-9999,10.3604,1,42,-9999,-1.9434,-9999,-9999,-9999,-9999,21.6203,1,41,-9999,-9999,-9999,1,1.61109,1.61109,1,1,0.587384,0.598389,2,2,407,412,0.587572,0.598504,1.61109,1.61109,1,1,0.587384,0.597847,2,2,407,413,0.587572,0.597963,1.61049,1.61056,1,1,0.0018682,0.00169173,1.59605,1.59632,1.60138,1.61109,1.61443,1.62607,1.63038,1.59605,1.59632,1.60422,1.61109,1.61443,1.61986,1.62971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.64403,1.64076,1.64246,5.94924e-4,1.637,1.63925,1.6405,1.64154,1.64403,1.64857,1.64912,1.64403,1.6405,1.64163,7.61102e-4,1.63029,1.6387100000000001,1.64029,1.64118,1.6434,1.6456,1.64874,0.0343823,0.0296664,0.0318977,0.0017178,0.0107592,0.0163558,0.0288839,0.0323484,0.035536,0.0416776,0.0452166,0.0289087,0.0294058,0.031142,0.00214362,0.0083319,0.0126419,0.0243677,0.0337224,0.0392981,0.0444458,0.0493085,1.49423,1.50667,1.57601,0.027956,1.40629,1.4244,1.45317,1.49344,1.5781,1.88279,1.89689,1.49316,1.88279,1.58248,0.0293166,1.40629,1.42377,1.45161,1.49344,1.62486,1.88279,1.90361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T01:00:00Z,39.6147344723289,0.5812049977808571
201712310230,201712310300,8.653,0,8.388,8.653,0,0,0,0,0,0,0,339.577,0,322.902,339.577,0,338.494,0,333.039,338.494,0,0.366,0,0.209,0.366,0,99.302,99.208,99.302,0,0,0,0,0,0.788,1.535,0.788,0,271.623,0.0538985,96.7333,0,0,0,361.147,454.148,0,10.133,10.087,10.211,10.754,10.95,10.831,10.932,0,0,0,0,0,0,0,21.957,19.993,20.325,21.971,23.104,20.191,0,0,0,0,0,0,-6.97126,0,-0.88182,-9999,-9999,-9999,-9999,9.91808,1,41,-9999,-2.22099,-9999,-9999,-9999,-9999,22.7847,1,40,-9999,-9999,-9999,1,1.62018,1.62018,1,1,0.587384,0.598389,2,2,407,412,0.587579,0.598494,1.62018,1.62018,1,1,0.587384,0.597847,2,2,407,413,0.587579,0.597953,1.61993,1.6198,1,1,0.00193651,0.0017032,1.60531,1.60571,1.60954,1.62018,1.62275,1.63601,1.64037,1.60531,1.60571,1.61431,1.62018,1.62275,1.62821,1.63981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.6435,1.64042,1.64205,5.85396e-4,1.63671,1.63884,1.64015,1.64113,1.6435,1.64803,1.64858,1.6435,1.64015,1.64122,7.46116e-4,1.62995,1.6383,1.63991,1.64085,1.64299,1.64525,1.6482,0.0250059,0.0202399,0.0222457,0.00175797,3.57151e-4,0.00592124,0.0194871,0.0220665,0.0261312,0.0319351,0.035821,0.0194871,0.0199704,0.0212902,0.00224222,-0.00206554,0.00229442,0.0136088,0.0244154,0.0306323,0.0344404,0.0400352,1.49363,1.50608,1.57539,0.0279447,1.40575,1.42387,1.45258,1.49285,1.57746,1.88206,1.89613,1.49257,1.88206,1.58186,0.0293045,1.40575,1.42324,1.45103,1.49285,1.62438,1.88206,1.90287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T01:30:00Z,39.61473433281278,0.5812050074359131
201712310300,201712310330,8.703,0,8.324,8.703,0,0,0,0,0,0,0,351.687,0,322.902,351.687,0,339.239,0,333.039,339.239,0,0.289,0,0.12,0.289,0,99.294,99.197,99.294,0,0,0,0,0,0.916,1.605,0.916,0,38.0087,0.115339,97.4333,0,0,0,362.967,457.837,0,10.117,10.062,10.163,10.715,10.925,10.842,10.942,0,0,0,0,0,0,0,21.946,19.985,20.318,21.97,23.11,20.192,0,0,0,0,0,0,-6.56792,0,1.96298,-9999,-9999,-9999,-9999,9.56476,1,39,-9999,2.10581,-9999,-9999,-9999,-9999,24.4604,1,39,-9999,-9999,-9999,1,1.62297,1.62297,1,1,0.587384,0.598389,2,2,407,412,0.587582,0.598491,1.62297,1.62297,1,1,0.587384,0.597847,2,2,407,413,0.587582,0.597949,1.62283,1.62264,1,1,0.00196542,0.00171451,1.60803,1.60863,1.61202,1.62279,1.62532,1.6391,1.6435,1.60803,1.60863,1.61728,1.62297,1.62532,1.63079,1.64297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.64573,1.64268,1.64435,5.69622e-4,1.6391,1.6412,1.64243,1.64339,1.64573,1.65007,1.65061,1.64573,1.64243,1.64355,6.8441e-4,1.63272,1.64068,1.64221,1.64309,1.64518,1.64732,1.65024,0.0245172,0.0197102,0.0217143,0.00177037,-4.90546e-4,0.00510252,0.0189854,0.0223902,0.0255761,0.0317472,0.0353641,0.0189854,0.0194556,0.0207251,0.00223564,-0.00281835,0.00158167,0.0127677,0.0236994,0.0304831,0.0337956,0.0394336,1.50115,1.51357,1.58306,0.0280862,1.41249,1.43047,1.45987,1.50023,1.5854,1.8913,1.90552,1.49989,1.8913,1.58955,0.029456,1.41249,1.42985,1.45832,1.50023,1.63034,1.8913,1.91219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T02:00:00Z,39.61473400727517,0.5812050299643772
201712310330,201712310400,8.817,0,8.26,8.817,0,0,0,0,0,0,0,352.343,0,322.902,352.343,0,339.604,0,333.039,339.604,0,0.412,0,0.031,0.412,0,99.272,99.185,99.272,0,0,0,0,0,1.323,1.674,1.323,0,55.1845,0.131861,96.3667,0,0,0,362.24,459.028,0,10.138,10.043,10.133,10.678,10.903,10.843,10.954,0,0,0,0,0,0,0,21.936,19.977,20.31,21.966,23.115,20.197,0,0,0,0,0,0,-5.73583,0,1.39712,-9999,-9999,-9999,-9999,9.53414,1,35,-9999,-3.07486,-9999,-9999,-9999,-9999,26.7049,1,37,-9999,-9999,-9999,1,1.61011,1.61011,1,1,0.589625,0.598468,2,2,410,415,0.589879,0.598652,1.61011,1.61011,1,1,0.589625,0.598389,2,2,410,416,0.589879,0.598573,1.6125,1.61202,1,1,0.00239686,0.00196115,1.59608,1.59634,1.60129,1.61011,1.61481,1.63096,1.63507,1.59608,1.59634,1.60397,1.61011,1.61841,1.62603,1.63507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.65121,1.64801,1.64987,5.6723e-4,1.64466,1.64682,1.6478,1.64882,1.65121,1.65521,1.65594,1.65121,1.6478,1.64913,5.80944e-4,1.64047,1.64636,1.64768,1.64843,1.65047,1.65225,1.65534,0.0423446,0.0379038,0.0378526,0.0019661600000000002,0.0134112,0.0195909,0.0334669,0.0378922,0.043093,0.0492437,0.0524766,0.0372353,0.037693,0.0366357,0.00262006,0.0112859,0.0153959,0.0262516,0.0398523,0.0469522,0.0517231,0.0560989,1.5184,1.53074,1.60064,0.0284108,1.42793,1.4456,1.47657,1.51713,1.60359,1.91247,1.92704,1.51666,1.91247,1.60716,0.0298038,1.42793,1.445,1.47503,1.51713,1.64395,1.91247,1.93355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T02:30:00Z,39.61473386775905,0.5812050396194333
201712310400,201712310430,8.773,0,8.196,8.773,0,0,0,0,0,0,0,349.567,0,334.531,349.567,0,338.755,0,346.451,338.755,0,0.524,0,0,0.524,0,99.226,99.173,99.226,0,0,0.022,0,0,1.431,1.744,1.431,0,71.6312,0.168855,95.3667,0,0,0,361.19,443.727,0,10.133,10.037,10.102,10.648,10.873,10.847,10.959,0,0,0,0,0,0,0,21.927,19.969,20.306,21.966,23.122,20.198,0,0,0,0,0,0,-5.63833,0,1.25723,-9999,-9999,-9999,-9999,9.6441,1,34,-9999,-4.52311,-9999,-9999,-9999,-9999,35.1132,1,36,-9999,-9999,-9999,1,1.62534,1.62534,1,1,0.587747,0.598389,2,2,408,413,0.587925,0.598494,1.62534,1.62534,1,1,0.587747,0.598118,2,2,408,414,0.587925,0.598224,1.62542,1.6252,1,1,0.00194908,0.00165036,1.61107,1.61186,1.61464,1.62534,1.62739,1.6408,1.64497,1.61107,1.61186,1.6201,1.62534,1.63097,1.63438,1.64448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.64864,1.64576,1.64746,5.58926e-4,1.64239,1.64437,1.64552,1.64644,1.64864,1.65274,1.6535,1.64864,1.64552,1.64669,5.94981e-4,1.63672,1.64389,1.64532,1.64614,1.64811,1.65012,1.65289,0.0250211,0.0204161,0.0222533,0.00169236,0.00110483,0.00670314,0.0197349,0.0217048,0.0261101,0.0321577,0.0353656,0.0197349,0.0201782,0.021275,0.00217547,-0.00108314,0.00308692,0.0135713,0.0240148,0.0305389,0.0336581,0.0392376,1.51173,1.5241,1.59384,0.0282851,1.42196,1.43975,1.47011,1.51059,1.59655,1.90428,1.91872,1.51018,1.90428,1.60035,0.0296692,1.42196,1.43914,1.46857,1.51059,1.63869,1.90428,1.92529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T03:00:00Z,39.614733542221444,0.5812050621478972
201712310430,201712310500,8.677,0,8.267,8.677,0,0,0,0,0,0,0,334.467,0,334.531,334.467,0,337.974,0,346.451,337.974,0,0.524,0,0,0.524,0,99.183,99.155,99.183,0,0,0,0,0,1.389,1.635,1.389,0,95.7539,0.0965259,95.3333,0,0,0,359.47,441.425,0,10.086,10.021,10.084,10.616,10.849,10.848,10.968,0,0,0,0,0,0,0,21.917,19.962,20.299,21.964,23.127,20.2,0,0,0,0,0,0,-6.21834,0,-0.113785,-9999,-9999,-9999,-9999,10.3398,1,31,-9999,-4.3934,-9999,-9999,-9999,-9999,36.3152,1,34,-9999,-9999,-9999,1,1.63775,1.63775,1,1,0.587384,0.598389,2,2,407,412,0.587582,0.598485,1.63775,1.63775,1,1,0.587384,0.597847,2,2,407,413,0.587582,0.597943,1.63814,1.63765,1,1,0.00207206,0.00174822,1.62281,1.62447,1.62545,1.63775,1.64112,1.65498,1.6594,1.62281,1.62447,1.63318,1.63775,1.64431,1.64597,1.65904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.64342,1.641,1.64243,5.51179e-4,1.63755,1.63935,1.64056,1.64149,1.64342,1.64777,1.64831,1.64342,1.64071,1.64162,6.53215e-4,1.63089,1.63874,1.64028,1.64141,1.64328,1.64566,1.64794,0.00798011,0.00324905,0.00478131,0.00183443,-0.0184752,-0.00981998,7.4935e-4,0.00456321,0.00973642,0.0160924,0.0186762,0.00253248,0.0029608,0.00348178,0.0023733,-0.0206619,-0.0162419,-0.00583303,0.00719631,0.0130868,0.0169067,0.0227833,1.49724,1.50967,1.57907,0.0280125,1.40899,1.42704,1.45608,1.49639,1.58127,1.88649,1.90064,1.49608,1.88649,1.58555,0.0293772,1.40899,1.42641,1.45453,1.49639,1.62724,1.88649,1.90734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,15,8,2017-12-31T03:30:00Z,39.614733402705326,0.5812050718029533
