Day	Month	Year	Hour	Minute	julday	NEE_f	LE_f	H_f	Tair_f	Tsoil_f	Rg_f	VPD_f	Reco	GPP_f
14	4	2013	0	0	104	1.6083	12.84342	-20.16032	11.80091	9.37687	-0.02676	2.73472	1.54676	-0.06154
14	4	2013	0	30	104	1.6048	14.49172	-20.98921	12.04295	9.35937	-0.01633	2.96016	1.54506	-0.05974
14	4	2013	1	0	104	1.3394	11.89384	-18.60279	12.25187	9.37141	-0.02035	3.13417	1.54623	0.20683
14	4	2013	1	30	104	1.5123	15.20052	-21.03177	12.38877	9.39201	-0.02871	3.20489	1.54823	0.03593
14	4	2013	2	0	104	2.0693	21.6019	-29.84359	12.68603	9.42317	-0.04473	3.49524	1.55125	-0.51805
14	4	2013	2	30	104	1.8336	18.18431	-24.47003	12.64946	9.46129	-0.04895	3.37516	1.56027	-0.27333
14	4	2013	3	0	104	1.525	12.2409	-17.66256	12.5244	9.49044	-0.03569	3.15123	1.56844	0.04344
14	4	2013	3	30	104	1.4884	9.10417	-14.44892	12.35615	9.50406	-0.02327	2.91495	1.5751	0.0867
14	4	2013	4	0	104	1.2248	5.6747	-9.32582	12.28026	9.49977	0.03406	2.80477	1.58001	0.35521
14	4	2013	4	30	104	1.3227	6.75389	-10.67457	12.27095	9.49592	3.08992	2.77134	1.58495	0.26225
14	4	2013	5	0	104	1.0415	7.64988	-10.79942	12.31833	9.51735	12.83338	2.76039	1.59241	0.55091
14	4	2013	5	30	104	-0.321	15.40562	-12.20984	12.7635	9.59566	49.61508	3.07581	1.60555	1.92655
14	4	2013	6	0	104	0.23988	14.17157	-8.51078	13.11278	9.78405	57.88478	3.25495	1.62983	1.38995
14	4	2013	6	30	104	-1.9009	25.99265	-4.42431	13.52636	10.03019	106.01086	3.51776	1.6602	3.5611
14	4	2013	7	0	104	-2.3773	39.94941	-6.80148	14.02759	10.36196	121.60328	4.00321	1.69969	4.07699
14	4	2013	7	30	104	-1.5708	41.42295	-7.25734	14.43022	10.69463	123.7936	4.3698	1.73978	3.31058
14	4	2013	8	0	104	-0.7687	31.83995	-7.97291	14.53041	10.93149	84.47845	4.32174	1.77031	2.53901
14	4	2013	8	30	104	-2.9403	42.95384	0.18409	15.01283	11.15102	176.78563	4.93132	1.79931	4.73961
14	4	2013	9	0	104	-3.2124	73.69536	-1.69945	15.64503	11.57301	209.95097	5.6438	1.85026	5.06266
14	4	2013	9	30	104	-4.8764	104.02293	10.4284	16.3627	12.06668	333.51596	6.54058	1.90975	6.78615
14	4	2013	10	0	104	-4.6379	115.08389	0.24369	16.98424	12.63092	278.2475	7.31441	1.97799	6.61589
14	4	2013	10	30	104	-3.4549	92.34212	-6.09408	17.1098	12.94832	213.46567	7.51129	2.01975	5.47465
14	4	2013	11	0	104	-4.8265	114.46629	0.40763	17.60199	13.20148	313.05298	8.13222	2.05473	6.88123
14	4	2013	11	30	104	-5.9682	137.06017	16.70709	18.52723	13.80223	460.34067	9.6843	2.1297	8.0979
14	4	2013	12	0	104	-8.6478	167.92599	13.41492	19.24539	14.61047	451.77094	11.13763	2.23012	10.87792
