dayTveg	Tvplot1_top	a
250.007	15.4875	15.4875
250.014	15.69	
250.021	15.7638	
250.028	15.6538	15.6538
250.035	15.6725	
250.042	15.7888	
250.049	15.8888	15.8888
250.056	15.9263	
250.063	15.7575	
250.069	15.4638	15.4638
250.076	15.675	
250.083	15.2825	
250.09	15.0975	15.0975
250.097	14.8138	
250.104	14.3475	
250.111	14.2175	14.2175
250.118	14.2038	
250.125	14.185	
250.132	14.2575	14.2575
250.139	14.2138	
250.146	14.105	
250.153	14.1088	14.1088
250.16	14.0225	
250.167	13.8663	
250.174	13.8713	13.8713
250.181	13.8438	
250.188	13.8013	
250.194	13.6913	13.6913
250.201	13.7	
250.208	13.6913	
250.215	13.5263	13.5263
250.222	13.3288	
250.229	13.1238	
250.236	13.025	13.025
250.243	13.0763	
250.25	13.1413	
250.257	13.1575	13.1575
250.264	13.06	
250.271	13.1	
250.278	13.08	13.08
250.285	12.815	
250.292	12.705	
250.299	12.6013	12.6013
250.306	12.6375	
250.313	12.8038	
250.319	12.9375	12.9375
250.326	13.0588	
250.333	12.9263	
250.34	12.8888	12.8888
250.347	13.2725	
250.354	13.0863	
250.361	13.49	13.49
250.368	13.0713	
250.375	13.1138	
250.382	13.77	13.77
250.389	13.5175	
250.396	12.8163	
250.403	13.0125	13.0125
250.41	15.565	
250.417	18.5338	
250.424	18.5263	18.5263
250.431	19.4175	
250.438	16.9563	
250.444	18.0288	18.0288
250.451	19.3825	
250.458	18.8125	
250.465	18.9113	18.9113
250.472	19.7463	
250.479	21.7763	
250.486	21.5657	21.5657
250.493	22.6512	
250.5	23.1125	
250.507	22.915	22.915
250.514	22.6138	
250.521	21.52	
250.528	17.9638	17.9638
250.535	17.8863	
250.542	17.1663	
250.549	20.2288	20.2288
250.556	21.9613	
250.563	19.4763	
250.569	22.2613	22.2613
250.576	18.9863	
250.583	19.1563	
250.59	19.0213	19.0213
250.597	18.845	
250.604	18.6588	
250.611	19.585	19.585
250.618	21.1488	
250.625	21.255	
250.632	20.9563	20.9563
250.639	20.6788	
250.646	19.0663	
250.653	18.3675	18.3675
250.66	18.0525	
250.667	17.9238	
250.674	18.22	18.22
250.681	17.6313	
250.688	17.9275	
250.694	17.3925	17.3925
250.701	17.165	
250.708	18.255	
250.715	18.3575	18.3575
250.722	16.29	
250.729	16.1313	
250.736	16.2975	16.2975
250.743	15.875	
250.75	15.2925	
250.757	16.48	16.48
250.764	14.495	
250.771	13.6038	
250.778	13.8563	13.8563
250.785	12.9125	
250.792	12.8775	
250.799	12.7075	12.7075
250.806	12.6713	
250.813	12.55	
250.819	12.3838	12.3838
250.826	12.485	
250.833	12.5125	
250.84	12.605	12.605
250.847	12.4275	
250.854	11.7838	
250.861	11.4838	11.4838
250.868	12.0763	
250.875	11.6325	
250.882	11.6375	11.6375
250.889	11.9262	
250.896	11.9512	
250.903	12.2813	12.2813
250.91	12.415	
250.917	12.3463	
250.924	12.1825	12.1825
250.931	12.0525	
250.938	11.9138	
250.944	11.2638	11.2638
250.951	10.5038	
250.958	10.0425	
250.965	10.1125	10.1125
250.972	10.6738	
250.979	10.9763	
250.986	11.1038	11.1038
250.993	11.1513	
251	10.6463	
251.007	10.0775	10.0775
251.014	9.39375	
251.021	9.7675	
251.028	9.42	9.42
251.035	8.5	
251.042	8.13375	
251.049	8.025	8.025
251.056	7.685	
251.063	7.38125	
251.069	7.02925	7.02925
251.076	7.08175	
251.083	6.972	
251.09	6.77488	6.77488
251.097	6.84338	
251.104	7.19925	
251.111	7.495	7.495
251.118	7.24625	
251.125	6.77238	
251.132	6.50388	6.50388
251.139	6.4405	
251.146	6.2995	
251.153	6.09788	6.09788
251.16	6.51825	
251.167	6.30288	
251.174	6.63525	6.63525
251.181	6.71163	
251.188	6.722	
251.194	6.58988	6.58988
251.201	6.354	
251.208	6.59588	
251.215	6.4825	6.4825
251.222	6.254	
251.229	6.05963	
251.236	5.77175	5.77175
251.243	5.52275	
251.25	5.448	
251.257	5.1795	5.1795
251.264	5.32262	
251.271	5.48188	
251.278	5.86625	5.86625
251.285	6.45588	
251.292	6.88738	
251.299	7.255	7.255
251.306	7.555	
251.313	7.7	
251.319	8.21	8.21
251.326	8.55625	
251.333	8.925	
251.34	9.16	9.16
251.347	9.6725	
251.354	10.1663	
251.361	10.5813	10.5813
251.368	10.6325	
251.375	10.865	
251.382	11.2413	11.2413
251.389	12.3263	
251.396	13.7713	
251.403	15.1325	15.1325
251.41	16.1813	
251.417	16.92	
251.424	18.415	18.415
251.431	19.5825	
251.438	19.4213	
251.444	21.0863	21.0863
251.451	18.24	
251.458	19.58	
251.465	20.6763	20.6763
251.472	22.48	
251.479	21.2563	
251.486	21.0213	21.0213
251.493	23.6225	
251.5	21.95	
251.507	21.9863	21.9863
251.514	21.9625	
251.521	19.5475	
251.528	20.6875	20.6875
251.535	21.1838	
251.542	21.9063	
251.549	21.1563	21.1563
251.556	21.735	
251.563	24.32	
251.569	21.6763	21.6763
251.576	23.4313	
251.583	22.7975	
251.59	21.025	21.025
251.597	17.6238	
251.604	16.4538	
251.611	15.5138	15.5138
251.618	16.0088	
251.625	19.5075	
251.632	21.4863	21.4863
251.639	21.8388	
251.646	22.6075	
251.653	21.6875	21.6875
251.66	20.7563	
251.667	21.0063	
251.674	18.6513	18.6513
251.681	17.86	
251.688	18.1325	
251.694	21.9138	21.9138
251.701	18.7413	
251.708	19.245	
251.715	15.8188	15.8188
251.722	14.5725	
251.729	14.5913	
251.736	14.46	14.46
251.743	14.495	
251.75	15.3713	
251.757	14.4375	14.4375
251.764	14.2238	
251.771	13.7563	
251.778	13.3788	13.3788
251.785	13.7863	
251.792	14.3388	
251.799	14.3	14.3
251.806	13.66	
251.813	13.2263	
251.819	13.4088	13.4088
251.826	12.7075	
251.833	12.5425	
251.84	11.7025	11.7025
251.847	10.4825	
251.854	10.1225	
251.861	9.70625	9.70625
251.868	9.39	
251.875	9.135	
251.882	9.2925	9.2925
251.889	9.66	
251.896	9.50625	
251.903	8.89875	8.89875
251.91	8.7725	
251.917	8.1775	
251.924	7.85875	7.85875
251.931	7.605	
251.938	7.55125	
251.944	7.32625	7.32625
251.951	7.56625	
251.958	7.68875	
251.965	7.6375	7.6375
251.972	7.06513	
251.979	6.97625	
251.986	7.12063	7.12063
251.993	7.16313	
252	6.85325	
252.007	6.62538	6.62538
252.014	6.618	
252.021	6.88063	
252.028	7.395	7.395
252.035	7.5425	
252.042	7.3975	
252.049	7.3375	7.3375
252.056	6.90388	
252.063	6.65825	
252.069	6.514	6.514
252.076	6.54913	
252.083	6.60225	
252.09	6.45763	6.45763
252.097	6.34125	
252.104	6.3615	
252.111	6.43388	6.43388
252.118	6.7325	
252.125	7.178	
252.132	7.00688	7.00688
252.139	6.96088	
252.146	7.3425	
252.153	7.2375	7.2375
252.16	7.289	
252.167	7.07038	
252.174	7.25138	7.25138
252.181	7.4725	
252.188	7.50875	
252.194	7.74375	7.74375
252.201	8.26625	
252.208	8.6575	
252.215	9.3875	9.3875
252.222	9.47875	
252.229	8.895	
252.236	8.81	8.81
252.243	9.17625	
252.25	9.74875	
252.257	10.0125	10.0125
252.264	9.94375	
252.271	9.8225	
252.278	9.6275	9.6275
252.285	9.8225	
252.292	10.0525	
252.299	10.4125	10.4125
252.306	10.6088	
252.313	10.7175	
252.319	11.0738	11.0738
252.326	11.4013	
252.333	11.6663	
252.34	11.9588	11.9588
252.347	12.2125	
252.354	12.5613	
252.361	12.8688	12.8688
252.368	13.1525	
252.375	13.1525	
252.382	13.2588	13.2588
252.389	13.3538	
252.396	13.3088	
252.403	13.5038	13.5038
252.41	13.8925	
252.417	14.1325	
252.424	14.4238	14.4238
252.431	14.6063	
252.438	14.81	
252.444	14.7875	14.7875
252.451	14.3738	
252.458	14.12	
252.465	14.3875	14.3875
252.472	14.8213	
252.479	14.7225	
252.486	14.8238	14.8238
252.493	14.8738	
252.5	14.8288	
252.507	14.8275	14.8275
252.514	14.7488	
252.521	14.6963	
252.528	14.8013	14.8013
252.535	14.6488	
252.542	14.4575	
252.549	14.5	14.5
252.556	14.58	
252.563	14.695	
252.569	14.9563	14.9563
252.576	15.0538	
252.583	15.1	
252.59	15.245	15.245
252.597	15.605	
252.604	15.6188	
252.611	15.5825	15.5825
252.618	15.3663	
252.625	15.1375	
252.632	15.02	15.02
252.639	14.9888	
252.646	14.8213	
252.653	14.6488	14.6488
252.66	14.915	
252.667	14.8675	
252.674	14.9313	14.9313
252.681	15.1163	
252.688	15.2075	
252.694	14.8188	14.8188
252.701	14.6138	
252.708	14.4625	
252.715	14.3375	14.3375
252.722	14.1225	
252.729	13.9863	
252.736	13.9925	13.9925
252.743	14.06	
252.75	13.8063	
252.757	13.6138	13.6138
252.764	13.5013	
252.771	13.385	
252.778	13.4313	13.4313
252.785	13.475	
252.792	13.3988	
252.799	13.3438	13.3438
252.806	12.645	
252.813	12.4575	
252.819	12.3625	12.3625
252.826	12.2513	
252.833	12.1138	
252.84	12.0188	12.0188
252.847	11.985	
252.854	11.9513	
252.861	11.8438	11.8438
252.868	11.7975	
252.875	11.8288	
252.882	11.8075	11.8075
252.889	11.7562	
252.896	11.7238	
252.903	11.655	11.655
252.91	11.5363	
252.917	11.5838	
252.924	11.5863	11.5863
252.931	11.4463	
252.938	11.3313	
252.944	10.975	10.975
252.951	10.7938	
252.958	10.9675	
252.965	11.0938	11.0938
252.972	10.7963	
252.979	10.7613	
252.986	10.965	10.965
252.993	11.0625	
253	11.08	
253.007	10.5413	10.5413
253.014	10.1663	
253.021	9.965	
253.028	9.99125	9.99125
253.035	9.67375	
253.042	9.68	
253.049	9.29625	9.29625
253.056	8.74	
253.063	8.10875	
253.069	7.7675	7.7675
253.076	7.8575	
253.083	7.74625	
253.09	7.88	7.88
253.097	8.08875	
253.104	8.51625	
253.111	8.745	8.745
253.118	8.24625	
253.125	7.54625	
253.132	7.088	7.088
253.139	6.69713	
253.146	6.31425	
253.153	6.15588	6.15588
253.16	5.93813	
253.167	5.89225	
253.174	5.6585	5.6585
253.181	5.83225	
253.188	5.44475	
253.194	5.33338	5.33338
253.201	5.273	
253.208	5.42625	
253.215	5.13825	5.13825
253.222	5.00875	
253.229	4.93588	
253.236	4.75988	4.75988
253.243	4.74788	
253.25	4.79313	
253.257	4.69725	4.69725
253.264	4.87138	
253.271	4.84138	
253.278	4.64575	4.64575
253.285	4.58063	
253.292	5.05163	
253.299	5.47263	5.47263
253.306	5.84963	
253.313	6.56563	
253.319	7.57538	7.57538
253.326	8.115	
253.333	9.17375	
253.34	10.1438	10.1438
253.347	10.7775	
253.354	11.5937	
253.361	12.3738	12.3738
253.368	13.0038	
