simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,6.638245e+02,1.454282e+02,1.247602e+00,3.352398e+00,6.176441e+02,5.086568e+02,1.089873e+02,4.500320e+02,3.692212e+02,8.081078e+01,1.287164e+02,1.031081e+02,2.560831e+01,1.353360e+02,1.108816e+02,2.445440e+01,9.193701e+01,7.527805e+01,1.665895e+01,3.224876e+01,2.579867e+01,6.450092e+00
2,0,0,1.111442e+03,2.435059e+02,1.017901e+00,2.752099e+00,1.040103e+03,8.404097e+02,1.996928e+02,9.875118e+02,7.912635e+02,1.962484e+02,8.399684e+01,6.514179e+01,1.885505e+01,2.277094e+02,1.827825e+02,4.492689e+01,2.074474e+02,1.657083e+02,4.173910e+01,2.078694e+01,1.610812e+01,4.678825e+00
3,0,0,5.404001e+01,1.183800e+01,2.031783e+00,4.728217e+00,5.085167e+01,4.322786e+01,7.623814e+00,3.516986e+01,2.941211e+01,5.757751e+00,1.290620e+01,1.084242e+01,2.063777e+00,1.114896e+01,9.451486e+00,1.697478e+00,7.067740e+00,5.920758e+00,1.146982e+00,3.244322e+00,2.723473e+00,5.208489e-01
4,0,0,5.449872e+02,1.193973e+02,1.690322e+00,3.249678e+00,5.029180e+02,4.242188e+02,7.869922e+01,3.928523e+02,3.274592e+02,6.539308e+01,6.737548e+01,5.568527e+01,1.169020e+01,1.101766e+02,9.259276e+01,1.758386e+01,8.129598e+01,6.777531e+01,1.352067e+01,1.689889e+01,1.395902e+01,2.939866e+00
5,0,0,1.525201e+03,3.340905e+02,1.437841e+00,4.272159e+00,1.415643e+03,1.153973e+03,2.616693e+02,9.361610e+02,7.528287e+02,1.833323e+02,2.933608e+02,2.363541e+02,5.700668e+01,3.104961e+02,2.523451e+02,5.815102e+01,1.900507e+02,1.529936e+02,3.705702e+01,7.390596e+01,5.950638e+01,1.439958e+01
6,0,0,7.655763e+02,1.677012e+02,5.805757e-01,1.734243e-01,3.530448e+02,3.164060e+02,3.663876e+01,2.610902e+02,2.345671e+02,2.652312e+01,8.221180e+01,7.299179e+01,9.220011e+00,7.741397e+01,6.925842e+01,8.155544e+00,5.327917e+01,4.780104e+01,5.478133e+00,2.063949e+01,1.831389e+01,2.325597e+00
7,0,0,1.643830e+03,3.601319e+02,1.283995e+00,3.896005e+00,1.554838e+03,1.284600e+03,2.702386e+02,1.161138e+03,9.511528e+02,2.099855e+02,3.384706e+02,2.717827e+02,6.668786e+01,3.405556e+02,2.798873e+02,6.066824e+01,2.357636e+02,1.929444e+02,4.281916e+01,8.480169e+01,6.799225e+01,1.680944e+01
8,0,0,1.174884e+03,2.573640e+02,1.187558e+00,5.542442e+00,1.100031e+03,8.506781e+02,2.493532e+02,8.830325e+02,6.652326e+02,2.177998e+02,2.563296e+02,1.959264e+02,6.040319e+01,2.411509e+02,1.859444e+02,5.520657e+01,1.803287e+02,1.362466e+02,4.408213e+01,6.386498e+01,4.888258e+01,1.498239e+01
9,0,0,2.030536e+02,4.448649e+01,1.605489e+00,4.994511e+00,1.956978e+02,1.652983e+02,3.039945e+01,1.545796e+02,1.296437e+02,2.493590e+01,3.165562e+01,2.599766e+01,5.657961e+00,4.286135e+01,3.602544e+01,6.835915e+00,3.184231e+01,2.666303e+01,5.179282e+00,7.917319e+00,6.493626e+00,1.423693e+00
