F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
2.554020e-01,688,9.743936e-01,743,2.360585e-01,6.201114e-01,6.164135e-02,1.702941e-01,9.648681e-01
2.908551e-01,688,1.784557e+00,745,2.694528e-01,1.219744e+00,1.042494e-01,3.584388e-01,2.052464e+00
NaN,NaN,4.785723e-02,744,7.331178e-03,3.187928e-02,2.874488e-03,1.046742e-02,6.208523e-02
1.880988e-01,688,7.965713e-01,744,1.732260e-01,5.202172e-01,4.958312e-02,1.524831e-01,8.608315e-01
NaN,NaN,1.936638e+00,743,3.269427e-01,1.211264e+00,1.183321e-01,4.025421e-01,1.976781e+00
NaN,NaN,6.501363e-01,742,1.374947e-01,3.928555e-01,3.999900e-02,1.472659e-01,5.307000e-01
4.417337e-01,688,2.105170e+00,744,4.109319e-01,1.382923e+00,1.277760e-01,4.276396e-01,2.491687e+00
NaN,NaN,2.343070e+00,743,3.707477e-01,1.459998e+00,1.389561e-01,4.876106e-01,1.971820e+00
5.481102e-02,688,1.976587e-01,744,5.080168e-02,1.344167e-01,1.262189e-02,4.124541e-02,3.361051e-01
4.703293e-01,688,1.630081e+00,743,4.369387e-01,1.071086e+00,1.051067e-01,3.051333e-01,2.081966e+00
NaN,NaN,4.262294e-01,742,1.318558e-01,2.618742e-01,2.905280e-02,9.229154e-02,4.366379e-01
2.594704e-01,689,1.240934e+00,743,2.352178e-01,7.871547e-01,7.542588e-02,2.381001e-01,1.079756e+00
NaN,NaN,2.019147e+00,743,4.707684e-01,1.271118e+00,1.291954e-01,3.899792e-01,2.012957e+00
4.358056e-02,689,8.745839e-02,741,3.811784e-02,5.274413e-02,6.371839e-03,1.996728e-02,9.629114e-02
3.618395e-01,688,1.188861e+00,743,3.371781e-01,7.671081e-01,7.699435e-02,2.373503e-01,1.609252e+00
2.784346e-01,690,8.842034e-01,742,2.443180e-01,5.537352e-01,5.870374e-02,2.144050e-01,1.335230e+00
NaN,NaN,5.273894e-01,743,8.226066e-02,3.319114e-01,3.150939e-02,1.144535e-01,4.782806e-01
4.574429e-01,688,1.556900e+00,743,4.264840e-01,1.002386e+00,1.007597e-01,3.089701e-01,2.305178e+00
NaN,NaN,1.527977e+00,742,3.773812e-01,9.141265e-01,9.902624e-02,2.971018e-01,9.589721e-01
9.393316e-02,689,3.457764e-01,742,8.442859e-02,2.067398e-01,2.188831e-02,7.047069e-02,2.927773e-01
