simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,5,0,0,2.002663e+02,8.689987e+01,1.109701e+02,1.773938e+01,1.177674e+01,2.252316e+01,9.332849e+00,4.921109e+00,7.883104e+00,1.593279e+01,2.227895e+02,9.623272e+01,1.158912e+02
2,7,0,0,3.192877e+02,1.336398e+02,1.861435e+02,2.514025e+01,1.180034e+01,4.255323e+01,1.605308e+01,1.162189e+01,1.489363e+01,1.562791e+01,3.618410e+02,1.496929e+02,1.977654e+02
3,9,0,0,3.116811e+01,2.501388e+01,6.864517e+00,-8.841601e+00,2.206696e+01,5.514514e+00,3.242208e+00,7.147764e-01,1.930080e+00,2.909387e+01,3.668262e+01,2.825609e+01,7.579294e+00
4,5,0,0,9.196621e+01,7.625552e+01,1.443822e+01,7.575758e+00,3.084009e+01,3.518849e+01,1.969772e+01,2.943048e+00,1.231597e+01,3.641779e+01,1.271547e+02,9.595324e+01,1.738127e+01
5,7,0,0,4.718951e+02,1.785088e+02,2.927854e+02,1.887334e+01,1.609267e+01,2.310039e+01,1.034985e+01,4.322828e+00,8.085138e+00,2.373271e+01,4.949955e+02,1.888587e+02,2.971082e+02
6,4,0,0,2.746515e+01,3.859955e+01,-1.130262e+01,6.231307e+00,2.190173e+01,1.167776e+02,4.236497e+01,3.342252e+01,4.087215e+01,2.514049e+01,1.442427e+02,8.096452e+01,2.211990e+01
7,7,0,0,5.074205e+02,8.445238e+01,4.225987e+02,1.516077e+01,1.642841e+01,3.002365e+01,1.289985e+01,6.439801e+00,1.050828e+01,2.096127e+01,5.374442e+02,9.735223e+01,4.290385e+02
8,7,0,0,3.124119e+02,1.508921e+02,1.599933e+02,5.965685e+00,3.331264e+01,1.621693e+01,8.609024e+00,1.311303e+00,5.675927e+00,4.046176e+01,3.286289e+02,1.595011e+02,1.613046e+02
9,6,0,0,9.276470e+01,3.590182e+01,5.524165e+01,5.697208e+00,1.565826e+01,6.748469e+00,2.778399e+00,9.334774e-01,2.361964e+00,2.162051e+01,9.951317e+01,3.868022e+01,5.617513e+01
10,7,0,0,4.137740e+02,3.569579e+01,3.766861e+02,1.725036e+00,1.277806e+01,1.027822e+01,4.015857e+00,2.123002e+00,3.597376e+00,1.895154e+01,4.240522e+02,3.971165e+01,3.788091e+02
11,4,0,0,7.515129e+01,4.124953e+01,3.323015e+01,7.735586e+00,1.613699e+01,2.450942e+01,1.154763e+01,4.078911e+00,8.578296e+00,1.985748e+01,9.966071e+01,5.279716e+01,3.730906e+01
12,5,0,0,1.688205e+02,8.383912e+01,8.364160e+01,1.732487e+01,1.750570e+01,3.545296e+01,1.628213e+01,6.543880e+00,1.240854e+01,2.196728e+01,2.042734e+02,1.001213e+02,9.018548e+01
13,6,0,0,3.484742e+02,2.327886e+02,1.153145e+02,3.090422e+01,2.297633e+01,1.134602e+02,5.395632e+01,1.975047e+01,3.971109e+01,3.264767e+01,4.619345e+02,2.867449e+02,1.350650e+02
14,6,0,0,5.870890e+01,2.362918e+01,3.405576e+01,1.817174e+00,1.454661e+01,8.050102e+00,3.580456e+00,1.231057e+00,2.817536e+00,1.982823e+01,6.675901e+01,2.720964e+01,3.528682e+01
