simulation_number,year,DoY,ShortIn,LongIn,HemisOutShort,HemisOutLong,Lo,Lot,Lote
#,,,W m-2,W m-2,W m-2,W m-2,W m-2 sr-1,W m-2 sr-1,W m-2 sr-1
1,0,0,302,300,7.470915e+01,3.721129e+02,2.735260e+01,4.352701e-01,1.187590e+02
2,0,0,506,300,1.193117e+02,3.786800e+02,3.476553e+01,4.573200e-01,1.198937e+02
3,0,0,2.460000e+01,300,5.978591e+00,4.028582e+02,1.742148e+00,3.541898e-01,1.311906e+02
4,0,0,248,300,5.528728e+01,4.658579e+02,1.863410e+01,3.399127e-01,1.511444e+02
5,0,0,694,300,1.830231e+02,4.044828e+02,5.335092e+01,4.629864e-01,1.283681e+02
6,0,0,347,300,8.101651e+01,4.357122e+02,2.441182e+01,1.834442e+00,1.348155e+02
7,0,0,748,300,1.703343e+02,4.187892e+02,5.137905e+01,4.001752e-01,1.317496e+02
8,0,0,535,300,1.485274e+02,4.957560e+02,4.161930e+01,3.621323e-01,1.585353e+02
9,0,0,9.230000e+01,300,1.885294e+01,3.797200e+02,5.815605e+00,3.433462e-01,1.225656e+02
10,0,0,548,300,1.217506e+02,3.978385e+02,4.162109e+01,4.108317e-01,1.266933e+02
11,0,0,170,300,4.922634e+01,3.900470e+02,1.581171e+01,4.146888e-01,1.244177e+02
12,0,0,328,300,9.072956e+01,4.007725e+02,2.866287e+01,4.588496e-01,1.274519e+02
13,0,0,730,300,1.987286e+02,4.327191e+02,6.426504e+01,4.373193e-01,1.380678e+02
14,0,0,6.120000e+01,300,1.563596e+01,3.745637e+02,4.971258e+00,4.421105e-01,1.196134e+02
15,0,0,471,300,9.682513e+01,3.999661e+02,3.129702e+01,4.463149e-01,1.273015e+02
16,0,0,581,300,1.097622e+02,4.381010e+02,3.694852e+01,2.356549e-01,1.510182e+02
17,0,0,143,300,4.226294e+01,3.438557e+02,1.199531e+01,3.951398e-01,1.088827e+02
18,0,0,778,300,1.345966e+02,4.105251e+02,4.427223e+01,4.012264e-01,1.305954e+02
19,0,0,356,300,1.213465e+02,4.449445e+02,4.164620e+01,4.641080e-01,1.422021e+02
20,0,0,135,300,2.972971e+01,4.136390e+02,9.547771e+00,1.141237e+00,1.296906e+02
21,0,0,208,300,4.682049e+01,3.667105e+02,1.471709e+01,4.321076e-01,1.165992e+02
22,0,0,4.670000e+00,300,1.247820e+00,3.301026e+02,4.368373e-01,6.138703e-01,1.041786e+02
23,0,0,697,300,1.575794e+02,3.843444e+02,3.281145e+01,2.419745e-01,1.223254e+02
24,0,0,595,300,1.079969e+02,4.481324e+02,3.133173e+01,4.422604e-01,1.434838e+02
25,0,0,743,300,1.605444e+02,4.880691e+02,4.679477e+01,4.126715e-01,1.557171e+02
26,0,0,626,300,1.369340e+02,4.983467e+02,4.633595e+01,4.115917e-01,1.600089e+02
27,0,0,518,300,1.481757e+02,3.818036e+02,4.411681e+01,2.909366e-01,1.228109e+02
28,0,0,394,300,1.012791e+02,4.046066e+02,3.453419e+01,3.903519e-01,1.295692e+02
29,0,0,5.320000e+01,300,1.606775e+01,4.299385e+02,4.784378e+00,3.780716e-01,1.435449e+02
30,0,0,521,300,1.208844e+02,3.632586e+02,3.854676e+01,8.932983e-01,1.140033e+02
31,0,0,316,300,6.648846e+01,3.633139e+02,2.115419e+01,4.746514e-01,1.154207e+02
32,0,0,715,300,1.241372e+02,4.646202e+02,3.808956e+01,7.913405e-01,1.467110e+02
33,0,0,222,300,5.105155e+01,4.463938e+02,1.592869e+01,4.200794e-01,1.429529e+02
34,0,0,661,300,1.588429e+02,4.773530e+02,4.713429e+01,4.160780e-01,1.513149e+02
35,0,0,107,300,2.932492e+01,4.417866e+02,8.907380e+00,4.719795e-01,1.409472e+02
36,0,0,642,300,1.268983e+02,3.815033e+02,4.059141e+01,6.271873e-01,1.202317e+02
