#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
1.957826e+01,2.588043e+02,500,2.371927e-01
1.787350e+01,1.415716e+02,500,2.574638e-01
2.562643e+01,1.543087e+03,500,1.858715e-01
2.369344e+01,3.857450e+02,500,1.990660e-01
1.790285e+01,5.130340e+02,500,2.585760e-01
1.832100e+01,4.028437e+01,500,2.447186e-01
1.683699e+01,3.342229e+02,500,2.734895e-01
1.982866e+01,1.192719e+03,500,2.355012e-01
2.202325e+01,1.191942e+03,500,2.135334e-01
1.759636e+01,9.262621e+02,500,2.632348e-01
2.173489e+01,2.290763e+02,500,2.150995e-01
1.990391e+01,2.001563e+02,500,2.332811e-01
1.875246e+01,1.382595e+02,500,2.460971e-01
2.275540e+01,8.173529e+02,500,2.069910e-01
1.888230e+01,1.335582e+03,500,2.466007e-01
1.980785e+01,2.870250e+02,500,2.347267e-01
1.990937e+01,1.072402e+02,500,2.322429e-01
1.759256e+01,3.625449e+02,500,2.625382e-01
2.214387e+01,9.582094e+02,500,2.123544e-01
1.243550e+03,2.853062e+02,500,3.032955e-02
2.085781e+01,1.589646e+02,500,2.230460e-01
2.915506e+06,1.151308e+04,500,1.000000e-03
1.792186e+01,2.554634e+02,500,2.576448e-01
2.088187e+01,8.186327e+01,500,2.215426e-01
1.941778e+01,1.118283e+03,500,2.401277e-01
1.994006e+01,3.419261e+02,500,2.334333e-01
1.912571e+01,7.665104e+02,500,2.433327e-01
1.979619e+01,5.389043e+02,500,2.353771e-01
5.662393e+02,2.531569e+03,500,4.458942e-02
1.550022e+01,4.181958e+01,500,2.885672e-01
1.914777e+01,6.347687e+02,500,2.429440e-01
1.868585e+01,5.045795e+01,500,2.432995e-01
2.875971e+01,2.997543e+02,500,1.740108e-01
1.826564e+01,7.677761e+02,500,2.540553e-01
2.444078e+01,1.656140e+03,500,1.940773e-01
1.542784e+01,4.872565e+01,500,2.915533e-01
1.516411e+01,3.701937e+01,500,2.924284e-01
1.860923e+01,9.509898e+01,500,2.470919e-01
1.871001e+06,1.395312e+04,500,1.000000e-03
2.135064e+03,1.186197e+03,500,2.335517e-02
5.201568e+01,1.272728e+02,500,1.379985e-01
3.789021e+03,4.481672e+02,500,1.739952e-02
2.083456e+01,5.143392e+01,500,2.198608e-01
2.018778e+01,1.951441e+02,500,2.301901e-01
2.079891e+01,3.752302e+02,500,2.245066e-01
1.861907e+01,1.252073e+02,500,2.475690e-01
1.882487e+01,5.001862e+02,500,2.466675e-01
1.731483e+01,1.253663e+02,500,2.650218e-01
1.957514e+01,9.703189e+02,500,2.382401e-01
2.093338e+01,8.604680e+01,500,2.211717e-01
1.950602e+01,3.027566e+02,500,2.381707e-01
2.309774e+01,6.858688e+02,500,2.040762e-01
2.039930e+01,4.648062e+01,500,2.232047e-01
2.685278e+02,1.175379e+02,500,6.448844e-02
1.944749e+01,4.026953e+02,500,2.390956e-01
2.075838e+01,2.553226e+02,500,2.245793e-01
4.354666e+01,9.726597e+01,500,1.502973e-01
7.330515e+01,7.611039e+01,500,1.206818e-01
3.859039e+02,1.742093e+02,500,5.398399e-02
1.889233e+01,9.096775e+01,500,2.435077e-01
1.788648e+01,8.147268e+01,500,2.560031e-01
2.358622e+01,1.283843e+02,500,1.989826e-01
2.256705e+01,1.005443e+02,500,2.067445e-01
1.685650e+01,4.708938e+01,500,2.676485e-01
4.331908e+05,1.305317e+04,500,1.660566e-03
1.771053e+01,1.624397e+02,500,2.599144e-01
1.725031e+01,1.448895e+02,500,2.662230e-01
1.883345e+01,1.098543e+02,500,2.446685e-01
5.062479e+01,4.297473e+02,500,1.367749e-01
1.000441e+03,3.076931e+03,500,3.385637e-02
1.533406e+01,4.542177e+01,500,2.925867e-01
2.164304e+01,6.800085e+02,500,2.167360e-01
1.525978e+01,3.432769e+01,500,2.881245e-01
2.442442e+01,1.165577e+02,500,1.927432e-01
2.013792e+01,2.197059e+02,500,2.308589e-01
2.693614e+01,1.726637e+03,500,1.777752e-01
2.122898e+01,1.263958e+02,500,2.190952e-01
1.888695e+01,6.031945e+01,500,2.420541e-01
1.405873e+01,3.406745e+01,500,3.126682e-01
1.882084e+01,1.631049e+02,500,2.455235e-01
1.960493e+01,4.601930e+02,500,2.374059e-01
2.032960e+01,9.328911e+02,500,2.299396e-01
2.450069e+01,8.904808e+01,500,1.918650e-01
2.326107e+01,7.922943e+02,500,2.028224e-01
1.758177e+01,5.162990e+01,500,2.579408e-01
1.662552e+01,6.293039e+01,500,2.732017e-01
1.838658e+01,2.161373e+02,500,2.513381e-01
1.878671e+01,4.155322e+02,500,2.469853e-01
2.083755e+01,8.741368e+01,500,2.221536e-01
1.821591e+01,6.057244e+01,500,2.504554e-01
1.793377e+01,4.406995e+01,500,2.514754e-01
4.681826e+02,1.560775e+02,500,4.902584e-02
1.709425e+01,6.213590e+01,500,2.660613e-01
1.810171e+01,5.314476e+01,500,2.511347e-01
2.558051e+01,3.933352e+02,500,1.857574e-01
1.686481e+01,6.580301e+02,500,2.736791e-01
1.037195e+02,4.155990e+02,500,9.964132e-02
1.845030e+01,1.154023e+02,500,2.495286e-01
2.275969e+06,1.255189e+04,500,1.000000e-03
2.091469e+01,5.357940e+01,500,2.193882e-01
