simulation_number,year,DoY,Photosynthesis,Electron_transport,NPQ_energy,NPQ_photon,canopy_level_FQE,LST,emis,GPP
#,,,umol CO2 m-2 s-1,umol m-2 s-1,W m-2,umol m-2 s-1,umol photons (umol photons)-1,K,,umol CO2 m-2 s-1
1,0,0,1.773415e+01,1.283626e+02,1.121237e+01,5.493204e+01,1.291631e-02,2.865659e+02,9.796536e-01,2.069930e+01
2,0,0,2.513960e+01,1.755552e+02,5.017821e+01,2.392912e+02,1.239001e-02,2.872662e+02,9.791932e-01,2.753820e+01
3,0,0,-8.839174e+00,1.422285e+01,1.264568e-05,6.232693e-05,1.019027e-02,2.938525e+02,9.799526e-01,2.370569e+00
4,0,0,7.573816e+00,1.451863e+02,3.327001e-01,1.604943e+00,1.271818e-02,3.042360e+02,9.797441e-01,1.704787e+01
5,0,0,1.887382e+01,1.381324e+02,5.025770e+01,2.469730e+02,1.258672e-02,2.921453e+02,9.798879e-01,2.076036e+01
6,0,0,6.231155e+00,4.763351e+01,1.332182e+01,6.534765e+01,1.214039e-02,2.978769e+02,9.616722e-01,6.675207e+00
7,0,0,1.516279e+01,1.490125e+02,6.459238e+01,3.179183e+02,1.281611e-02,2.940118e+02,9.798197e-01,1.756416e+01
8,0,0,5.965111e+00,6.007856e+01,5.258278e+01,2.565789e+02,1.332232e-02,3.078727e+02,9.799608e-01,6.892369e+00
9,0,0,5.776526e+00,4.601603e+01,3.183794e+00,1.542260e+01,1.336629e-02,2.889308e+02,9.799461e-01,7.279495e+00
10,0,0,1.725538e+00,1.119141e+01,5.999580e+01,2.892955e+02,1.423378e-02,2.911611e+02,9.799551e-01,1.815694e+00
11,0,0,7.796323e+00,6.694547e+01,6.268165e-01,3.033045e+00,1.385448e-02,2.901081e+02,9.794393e-01,1.037278e+01
12,0,0,1.731036e+01,1.550660e+02,3.290736e+00,1.644240e+01,1.412532e-02,2.916699e+02,9.794584e-01,2.258146e+01
13,0,0,3.089727e+01,2.723808e+02,1.621668e+01,8.070958e+01,1.345269e-02,2.975500e+02,9.790030e-01,3.666534e+01
14,0,0,1.837774e+00,1.506502e+01,3.284829e-01,1.656235e+00,1.379822e-02,2.873077e+02,9.799062e-01,2.484057e+00
15,0,0,1.814924e+01,1.478698e+02,3.875767e+01,1.849389e+02,1.222335e-02,2.915226e+02,9.799702e-01,2.160099e+01
16,0,0,2.129390e+01,1.870401e+02,4.553792e+00,2.242086e+01,1.425691e-02,3.041328e+02,9.796452e-01,2.535624e+01
17,0,0,9.580717e+00,6.569213e+01,3.983306e+00,1.924995e+01,1.340535e-02,2.806743e+02,9.782277e-01,1.090723e+01
18,0,0,3.544469e+01,2.954838e+02,3.160998e+01,1.548567e+02,1.270787e-02,2.933679e+02,9.798169e-01,4.167465e+01
19,0,0,1.307802e+01,1.246625e+02,1.465421e+01,7.035511e+01,1.232583e-02,2.996886e+02,9.799362e-01,1.676792e+01
20,0,0,3.926344e+00,4.287894e+01,3.817079e-01,1.900085e+00,1.422024e-02,2.945826e+02,9.664134e-01,5.042463e+00
21,0,0,1.511090e+01,1.017092e+02,1.073436e+01,5.059359e+01,1.275911e-02,2.852732e+02,9.791396e-01,1.692372e+01
22,0,0,-4.814814e-01,2.869506e+00,4.432590e-06,2.158798e-05,1.024960e-02,2.799685e+02,9.736062e-01,5.463783e-01
23,0,0,3.930862e+01,2.815651e+02,5.393708e+01,2.577312e+02,1.212886e-02,2.885219e+02,9.796777e-01,4.394067e+01
24,0,0,2.922115e+01,2.484871e+02,2.009006e+01,9.612548e+01,1.327857e-02,3.005867e+02,9.768438e-01,3.315764e+01
25,0,0,1.384367e+01,1.419116e+02,8.580017e+01,4.056025e+02,1.304674e-02,3.065199e+02,9.799582e-01,1.671984e+01
26,0,0,1.801254e+01,2.759199e+02,3.020927e+01,1.467852e+02,1.222106e-02,3.086212e+02,9.797620e-01,2.750893e+01
27,0,0,3.756299e+01,2.867819e+02,3.053118e+01,1.439206e+02,1.279190e-02,2.888341e+02,9.799255e-01,4.437660e+01
28,0,0,2.323339e+01,2.025003e+02,7.747495e+00,3.775499e+01,1.404280e-02,2.927821e+02,9.798744e-01,2.930388e+01
29,0,0,-3.004610e-01,3.894205e+01,5.884033e-02,2.769472e-01,1.223260e-02,3.010879e+02,9.798094e-01,4.636755e+00
