variable,lower,upper,units,include,default,meaning
Cab,0,100,ug cm-2,1,80,leaf chlorophyll content
Cca,0,25,ug cm-2,1,20,leaf carotenoid content
Cant,0,5,ug cm-2,1,0,leaf anthocyanin content
Cdm,0,0.02,g cm-2,1,0.012,leaf mass per area (dry matter)
Cw,0,0.2,cm,1,0.009,equivalent leaf water thickness
Cs,0,1.2,-,1,0,senescent material (brown pigments)
N,1,3.5,-,1,1.4,mesophyll structure parameter
LAI,0,7,m2 m-2,1,3,canopy leaf area index
LIDFa,-1,1,-,1,-0.35,"leaf inclination distribution function parameters a, b"
LIDFb,-1,1,-,1,-0.15,
B,0,0.9,-,0,0.5,soil brightness
BSMlat,20,40,-,0,25,BSM model parameter lat
BSMlon,40,60,-,0,45,BSM model parameter lon
SMC,5,55,%,0,25,volumetric soil moisture content
Vcmax25,1,200,umol m-2 s-1,1,70,maximum carboxylation capacity (at optimum temperature)
BallBerrySlope,5,20,-,1,12,Ball-Berry stomatal conductance parameter
Rin,5,800,W m-2,1,600,broadband incoming shortwave radiation (0.4-2.5 um)
Rli,200,500,W m-2,0,300,broadband incoming longwave radiation (2.5-50 um)
Ta,5,35,C,1,20,air temperature
p,900,1100,hPa,0,970,air pressure
ea,0,60,hPa,0,15,atmospheric vapour pressure
RH,0,1,-,1,0.64,relative humidity (proxy of ea)
u,0.5,10,m s-1,0,2,wind speed at height z
tts,0,60,deg,1,30,solar zenith angle
tto,0,60,deg,1,0,observation zenith angle
psi,0,180,deg,1,90,azimuthal difference between solar and observation angle
